Sorte Nr.;Sorte;Stock Nr.;Anzahl Trauben;Ertrag in Gramm;40 Beeren g;Beerengewicht g;EM Blatt 1;EM Blatt 2;EM Blatt 3;EM Blatt 4;EM Blatt 5;°Brix;°Oechsle;Dichte;pH;Titr.GS;WS;AS;Formol;Zucker;Gluc;Fruc;NH3;Nopa;Hefeverf. Stickstoff
19;Marechal Foch;45.2.1;32;5356;57;1.425;20;20;5;30;40;23;96.2;10.962;Mär 34;08. Jan;06. Sep;03. Mai;14. Jun;226;114;111;41;171;205
19;Marechal Foch;45.2.2;21;3586;58;Jan 45;40;10;10;10;20;23;96.2;10.962;Mär 34;08. Jan;06. Sep;03. Mai;14. Jun;226;114;111;41;171;205
19;Marechal Foch;45.2.3;27;3958;52;01. Mär;40;50;5;40;10;23;96.2;10.962;Mär 34;08. Jan;06. Sep;03. Mai;14. Jun;226;114;111;41;171;205
19;Marechal Foch;45.2.4;37;5358;63;1.575;10;5;50;20;50;23;96.2;10.962;Mär 34;08. Jan;06. Sep;03. Mai;14. Jun;226;114;111;41;171;205
19;Marechal Foch;45.2.5;22;3138;62;Jan 55;20;10;10;10;20;23;96.2;10.962;Mär 34;08. Jan;06. Sep;03. Mai;14. Jun;226;114;111;41;171;205
20;Seyval blanc;46.2.1;29;6214;73;1.825;20;2;10;40;0;21. Mai;89.7;10.897;Mär 27;6;07. Jul;02. Jun;07. Jan;208;91;117;4;96;99
20;Seyval blanc;46.2.2;16;4601;94;Feb 35;20;0;30;30;20;21. Mai;89.7;10.897;Mär 27;6;07. Jul;02. Jun;07. Jan;208;91;117;4;96;99
20;Seyval blanc;46.2.3;25;6537;82;02. Mai;0;10;40;50;0;21. Mai;89.7;10.897;Mär 27;6;07. Jul;02. Jun;07. Jan;208;91;117;4;96;99
20;Seyval blanc;46.2.4;21;3126;67;1.675;10;20;10;60;20;21. Mai;89.7;10.897;Mär 27;6;07. Jul;02. Jun;07. Jan;208;91;117;4;96;99
20;Seyval blanc;46.2.5;18;3989;74;Jan 85;40;70;30;40;60;21. Mai;89.7;10.897;Mär 27;6;07. Jul;02. Jun;07. Jan;208;91;117;4;96;99
21;Leon Millot;47.2.1;14;939;44;01. Jan;20;60;60;30;20;23;96.3;10.963;Mär 45;04. Aug;06. Jun;02. Feb;09. Sep;220;97;123;9;130;138
21;Leon Millot;47.2.2;28;2400;49;1.225;10;5;60;5;0;23;96.3;10.963;Mär 45;04. Aug;06. Jun;02. Feb;09. Sep;220;97;123;9;130;138
21;Leon Millot;47.2.3;25;2207;56;01. Apr;20;50;40;40;30;23;96.3;10.963;Mär 45;04. Aug;06. Jun;02. Feb;09. Sep;220;97;123;9;130;138
21;Leon Millot;47.2.4;18;1224;41;1.025;50;60;40;40;30;23;96.3;10.963;Mär 45;04. Aug;06. Jun;02. Feb;09. Sep;220;97;123;9;130;138
21;Leon Millot;47.2.5;36;3110;52;01. Mär;40;20;40;30;10;23;96.3;10.963;Mär 45;04. Aug;06. Jun;02. Feb;09. Sep;220;97;123;9;130;138
22;Bianca;48.2.1;22;5918;106;Feb 65;2;10;10;30;20;21. Jul;90.5;10.905;Mär 42;05. Aug;06. Mär;02. Mai;09. Aug;214;102;113;12;127;137
22;Bianca;48.2.2;19;4789;105;2.625;20;40;30;20;20;21. Jul;90.5;10.905;Mär 42;05. Aug;06. Mär;02. Mai;09. Aug;214;102;113;12;127;137
22;Bianca;48.2.3;19;4460;93;2.325;30;10;30;30;40;21. Jul;90.5;10.905;Mär 42;05. Aug;06. Mär;02. Mai;09. Aug;214;102;113;12;127;137
22;Bianca;48.2.4;20;7495;103;2.575;10;20;10;40;20;21. Jul;90.5;10.905;Mär 42;05. Aug;06. Mär;02. Mai;09. Aug;214;102;113;12;127;137
22;Bianca;48.2.5;21;4291;109;2.725;20;20;30;40;30;21. Jul;90.5;10.905;Mär 42;05. Aug;06. Mär;02. Mai;09. Aug;214;102;113;12;127;137
23;Chambourcin;49.2.1;15;5324;109;2.725;10;30;10;30;0;17. Sep;73.6;10.736;03. Apr;10. Jan;08. Jan;04. Feb;06. Mär;167;80;87;12;79;89
23;Chambourcin;49.2.2;19;6476;99;2.475;10;30;60;50;40;17. Sep;73.6;10.736;03. Apr;10. Jan;08. Jan;04. Feb;06. Mär;167;80;87;12;79;89
23;Chambourcin;49.2.3;31;5717;98;Feb 45;20;10;20;30;20;17. Sep;73.6;10.736;03. Apr;10. Jan;08. Jan;04. Feb;06. Mär;167;80;87;12;79;89
23;Chambourcin;49.2.4;21;5499;122;03. Mai;50;30;40;10;10;17. Sep;73.6;10.736;03. Apr;10. Jan;08. Jan;04. Feb;06. Mär;167;80;87;12;79;89
23;Chambourcin;49.2.5;12;3841;109;2.725;40;20;10;40;10;17. Sep;73.6;10.736;03. Apr;10. Jan;08. Jan;04. Feb;06. Mär;167;80;87;12;79;89
24;Vidal blanc;50.2.1;23;6884;86;Feb 15;20;50;40;40;20;19. Jun;80.9;10.809;Mär 15;06. Sep;06. Sep;02. Jun;09. Mär;196;95;101;38;99;130
24;Vidal blanc;50.2.2;23;3482;78;Jan 95;60;40;20;5;4;19. Jun;80.9;10.809;Mär 15;06. Sep;06. Sep;02. Jun;09. Mär;196;95;101;38;99;130
24;Vidal blanc;50.2.3;17;5718;82;02. Mai;60;10;30;60;40;19. Jun;80.9;10.809;Mär 15;06. Sep;06. Sep;02. Jun;09. Mär;196;95;101;38;99;130
24;Vidal blanc;50.2.4;29;7223;79;1.975;40;30;10;10;5;19. Jun;80.9;10.809;Mär 15;06. Sep;06. Sep;02. Jun;09. Mär;196;95;101;38;99;130
24;Vidal blanc;50.2.5;21;6569;100;02. Mai;10;0;10;5;30;19. Jun;80.9;10.809;Mär 15;06. Sep;06. Sep;02. Jun;09. Mär;196;95;101;38;99;130
25;Baco noir;51.2.1;26;2122;45;1.125;20;5;30;5;5;21. Apr;89.3;10.893;Mär 22;07. Jul;07. Jul;02. Jul;17. Sep;204;94;110;49;210;251
25;Baco noir;51.2.2;34;2505;41;1.025;10;60;60;60;5;21. Apr;89.3;10.893;Mär 22;07. Jul;07. Jul;02. Jul;17. Sep;204;94;110;49;210;251
25;Baco noir;51.2.3;19;1569;52;01. Mär;10;30;5;20;10;21. Apr;89.3;10.893;Mär 22;07. Jul;07. Jul;02. Jul;17. Sep;204;94;110;49;210;251
25;Baco noir;51.2.4;30;2024;37;0.925;30;40;30;0;60;21. Apr;89.3;10.893;Mär 22;07. Jul;07. Jul;02. Jul;17. Sep;204;94;110;49;210;251
25;Baco noir;51.2.5;23;1795;43;1.075;40;30;20;40;5;21. Apr;89.3;10.893;Mär 22;07. Jul;07. Jul;02. Jul;17. Sep;204;94;110;49;210;251
26;Magliasina;52.2.1;17;1934;108;02. Jul;0.5;10;5;5;10;21. Feb;88.3;10.883;Mär 16;06. Jan;09. Jun;01. Feb;06. Mai;208;86;121;23;73;91
26;Magliasina;52.2.2;NA;NA;NA;NA;10;5;30;10;20;21. Feb;88.3;10.883;Mär 16;06. Jan;09. Jun;01. Feb;06. Mai;208;86;121;23;73;91
26;Magliasina;52.2.3;NA;NA;NA;NA;40;50;60;10;20;21. Feb;88.3;10.883;Mär 16;06. Jan;09. Jun;01. Feb;06. Mai;208;86;121;23;73;91
26;Magliasina;52.2.4;8;342;67;1.675;0;10;5;5;10;21. Feb;88.3;10.883;Mär 16;06. Jan;09. Jun;01. Feb;06. Mai;208;86;121;23;73;91
26;Magliasina;52.2.5;17;847;86;Feb 15;5;10;20;5;10;21. Feb;88.3;10.883;Mär 16;06. Jan;09. Jun;01. Feb;06. Mai;208;86;121;23;73;91
27;Landal;53.2.1;20;2788;91;2.275;20;70;70;60;40;22. Mär;93.1;10.931;Mär 25;7;06. Mär;03. Mär;07. Apr;224;108;116;12;94;104
27;Landal;53.2.2;20;4665;90;Feb 25;10;20;5;30;20;22. Mär;93.1;10.931;Mär 25;7;06. Mär;03. Mär;07. Apr;224;108;116;12;94;104
27;Landal;53.2.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;22. Mär;93.1;10.931;Mär 25;7;06. Mär;03. Mär;07. Apr;224;108;116;12;94;104
27;Landal;53.2.4;25;3120;85;2.125;30;70;10;60;60;22. Mär;93.1;10.931;Mär 25;7;06. Mär;03. Mär;07. Apr;224;108;116;12;94;104
27;Landal;53.2.5;9;515;72;01. Aug;40;60;70;50;70;22. Mär;93.1;10.931;Mär 25;7;06. Mär;03. Mär;07. Apr;224;108;116;12;94;104
28;Noah;54.2.1;23;4029;111;2.775;50;40;30;50;10;19. Sep;82.3;10.823;Mär 16;08. Feb;07. Apr;03. Jun;06. Sep;197;95;102;11;88;97
28;Noah;54.2.2;26;5036;130;Mär 25;50;30;10;10;40;19. Sep;82.3;10.823;Mär 16;08. Feb;07. Apr;03. Jun;06. Sep;197;95;102;11;88;97
28;Noah;54.2.3;35;5677;112;02. Aug;50;60;50;40;10;19. Sep;82.3;10.823;Mär 16;08. Feb;07. Apr;03. Jun;06. Sep;197;95;102;11;88;97
28;Noah;54.2.4;24;5717;108;02. Jul;40;10;60;40;50;19. Sep;82.3;10.823;Mär 16;08. Feb;07. Apr;03. Jun;06. Sep;197;95;102;11;88;97
28;Noah;54.2.5;31;5552;116;02. Sep;40;40;10;10;30;19. Sep;82.3;10.823;Mär 16;08. Feb;07. Apr;03. Jun;06. Sep;197;95;102;11;88;97
29;Plantet;55.2.1;21;4422;66;Jan 65;10;5;0;0;2;21. Jun;89.9;10.899;Mär 16;06. Aug;07. Jul;2;7;218;107;111;3;95;98
29;Plantet;55.2.2;20;4751;60;01. Mai;5;5;10;5;10;21. Jun;89.9;10.899;Mär 16;06. Aug;07. Jul;2;7;218;107;111;3;95;98
29;Plantet;55.2.3;17;3439;55;1.375;5;5;5;5;0;21. Jun;89.9;10.899;Mär 16;06. Aug;07. Jul;2;7;218;107;111;3;95;98
29;Plantet;55.2.4;24;3802;70;Jan 75;10;10;0;2;10;21. Jun;89.9;10.899;Mär 16;06. Aug;07. Jul;2;7;218;107;111;3;95;98
29;Plantet;55.2.5;24;3817;47;1.175;10;5;0;10;10;21. Jun;89.9;10.899;Mär 16;06. Aug;07. Jul;2;7;218;107;111;3;95;98
30;Helios;56.2.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;21. Aug;91.1;10.911;Mär 16;08. Sep;06. Apr;04. Jul;07. Apr;213;103;111;9;97;104
30;Helios;56.2.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;21. Aug;91.1;10.911;Mär 16;08. Sep;06. Apr;04. Jul;07. Apr;213;103;111;9;97;104
30;Helios;56.2.3;15;5385;81;2.025;5;5;0;2;2;21. Aug;91.1;10.911;Mär 16;08. Sep;06. Apr;04. Jul;07. Apr;213;103;111;9;97;104
30;Helios;56.2.4;23;4373;78;Jan 95;5;5;5;0;0;21. Aug;91.1;10.911;Mär 16;08. Sep;06. Apr;04. Jul;07. Apr;213;103;111;9;97;104
30;Helios;56.2.5;27;4568;87;2.175;30;0;5;0;0;21. Aug;91.1;10.911;Mär 16;08. Sep;06. Apr;04. Jul;07. Apr;213;103;111;9;97;104
31;Cabernet cortis;45.3.1;18;2855;71;1.775;10;20;30;20;10;24;100.8;11.008;03. Feb;06. Mär;06. Mai;02. Apr;08. Sep;250;126;125;25;104;124
31;Cabernet cortis;45.3.2;15;1832;79;1.975;5;10;20;5;5;24;100.8;11.008;03. Feb;06. Mär;06. Mai;02. Apr;08. Sep;250;126;125;25;104;124
31;Cabernet cortis;45.3.3;20;3170;75;1.875;10;20;50;30;10;24;100.8;11.008;03. Feb;06. Mär;06. Mai;02. Apr;08. Sep;250;126;125;25;104;124
31;Cabernet cortis;45.3.4;27;3366;64;01. Jun;20;20;20;10;20;24;100.8;11.008;03. Feb;06. Mär;06. Mai;02. Apr;08. Sep;250;126;125;25;104;124
31;Cabernet cortis;45.3.5;16;3784;55;1.375;40;40;5;10;5;24;100.8;11.008;03. Feb;06. Mär;06. Mai;02. Apr;08. Sep;250;126;125;25;104;124
32;Solaris;46.3.1;31;5858;67;1.675;60;40;20;20;20;26. Jul;113.6;11.136;Mär 34;05. Jan;07. Mai;0.9;19. Sep;264;117;146;41;245;278
32;Solaris;46.3.2;30;4803;62;Jan 55;60;20;10;5;2;26. Jul;113.6;11.136;Mär 34;05. Jan;07. Mai;0.9;19. Sep;264;117;146;41;245;278
32;Solaris;46.3.3;25;3317;68;01. Jul;20;40;40;5;40;26. Jul;113.6;11.136;Mär 34;05. Jan;07. Mai;0.9;19. Sep;264;117;146;41;245;278
32;Solaris;46.3.4;27;3139;58;Jan 45;40;20;40;10;40;26. Jul;113.6;11.136;Mär 34;05. Jan;07. Mai;0.9;19. Sep;264;117;146;41;245;278
32;Solaris;46.3.5;23;3719;51;1.275;30;20;10;50;40;26. Jul;113.6;11.136;Mär 34;05. Jan;07. Mai;0.9;19. Sep;264;117;146;41;245;278
33;Prior;47.3.1;9;2884;91;2.275;10;30;5;60;0;18. Jan;74.5;10.745;Mär 16;07. Feb;06. Aug;03. Jan;06. Jul;186;92;94;17;81;94
33;prior;47.3.2;18;5540;88;02. Feb;60;5;70;10;70;18. Jan;74.5;10.745;Mär 16;07. Feb;06. Aug;03. Jan;06. Jul;186;92;94;17;81;94
33;Prior;47.3.3;19;5948;98;Feb 45;5;0;10;5;20;18. Jan;74.5;10.745;Mär 16;07. Feb;06. Aug;03. Jan;06. Jul;186;92;94;17;81;94
33;Prior;47.3.4;22;8321;78;Jan 95;50;10;60;40;10;18. Jan;74.5;10.745;Mär 16;07. Feb;06. Aug;03. Jan;06. Jul;186;92;94;17;81;94
33;Prior;47.3.5;19;5052;95;2.375;0;30;60;10;20;18. Jan;74.5;10.745;Mär 16;07. Feb;06. Aug;03. Jan;06. Jul;186;92;94;17;81;94
34;Souvignier gris;48.3.1;11;2666;88;02. Feb;0;40;10;20;5;22. Feb;92.5;10.925;Mär 19;06. Sep;07. Aug;02. Mär;08. Apr;225;110;115;11;109;118
34;Souvignier gris;48.3.2;21;5308;90;Feb 25;5;30;5;5;30;22. Feb;92.5;10.925;Mär 19;06. Sep;07. Aug;02. Mär;08. Apr;225;110;115;11;109;118
34;Souvignier gris;48.3.3;14;5223;97;2.425;5;5;5;10;50;22. Feb;92.5;10.925;Mär 19;06. Sep;07. Aug;02. Mär;08. Apr;225;110;115;11;109;118
34;Souvignier gris;48.3.4;10;3269;70;Jan 75;5;2;5;5;2;22. Feb;92.5;10.925;Mär 19;06. Sep;07. Aug;02. Mär;08. Apr;225;110;115;11;109;118
34;Souvignier gris;48.3.5;14;4221;85;2.125;20;5;20;2;2;22. Feb;92.5;10.925;Mär 19;06. Sep;07. Aug;02. Mär;08. Apr;225;110;115;11;109;118
35;Baron;49.3.1;13;2073;72;01. Aug;0;2;0;20;2;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
35;Baron;49.3.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
35;Baron;49.3.3;9;891;73;1.825;10;0;0;5;10;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
35;Baron;49.3.4;14;1572;66;Jan 65;10;0;0;70;70;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
35;Baron;49.3.5;17;1890;68;01. Jul;5;10;2;2;0;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
36;Muscaris;50.3.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
36;Muscaris;50.3.2;23;6378;76;01. Sep;2;5;5;30;5;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
36;Muscaris;50.3.3;16;3760;71;1.775;0;0;20;5;0;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
36;Muscaris;50.3.4;11;2603;81;2.025;2;0;2;0;0;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
36;Muscaris;50.3.5;16;3209;81;2.025;0;5;0;0;5;25. Mär;106.7;11.067;Mär 52;03. Mai;05. Apr;01. Sep;14. Jan;258;126;132;31;172;198
37;Cab. carbon;51.3.1;25;3121;55;1.375;10;40;60;50;40;20. Feb;83.5;10.835;Mär 13;07. Mai;07. Jun;02. Mär;8;204;105;99;25;92;113
